model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
llama,exact,scientist,0.9098432941332236,0.9303005788107869,0.8242030331166822,0.8249223327138866,0.8210408082514209,0.0
llama,exact,trivia,0.9491541037184191,0.9555753107460249,0.876,0.8764638972107851,0.8759543349653008,0.0
llama,exact,gsm8k,0.9488840639792387,0.8050729669341593,0.8669497523000708,0.8936599281884806,0.8248188599069972,0.0
llama,exact,scientist_to_all,0.9311660422187701,0.9715433791729644,0.8763102725366876,0.7908708763593164,0.8204856703641571,0.0
llama,exact,scientist_to_athlete,0.9546618852459017,0.987948158975282,0.9025974025974026,0.7886782786885246,0.8290788013318535,0.0
llama,exact,scientist_to_building,0.9454836131095125,0.9806862926069435,0.9130434782608695,0.8522781774580335,0.8744669964182159,0.0
llama,exact,scientist_to_musician,0.8970860314523589,0.9348142052184574,0.7985611510791367,0.7281452358926919,0.7464825429911413,0.0
llama,attention,scientist,0.9058015216640896,0.9239224075897728,0.8238935314144228,0.8253975572042614,0.8209473550046033,0.4136178734589149
llama,attention,trivia,0.9455053749659559,0.9521397584141504,0.8770000000000001,0.8774051170316731,0.8769482831740563,0.40571130331046823
llama,attention,gsm8k,0.9531000044501594,0.8035220831866984,0.8775654635527247,0.90492351581329,0.837594994310996,0.35848506592519513
llama,attention,scientist_to_all,0.9215023302567851,0.9672417927603156,0.8721174004192872,0.7854221876998995,0.8144004388510777,0.31674100505501046
llama,attention,scientist_to_athlete,0.9490266393442623,0.9854457258154867,0.8961038961038961,0.7845799180327868,0.8203557888597259,0.31674100505501046
llama,attention,scientist_to_building,0.9344524380495602,0.9744462563435073,0.907608695652174,0.8486810551558752,0.8677658000422743,0.31674100505501046
llama,attention,scientist_to_musician,0.8889916743755782,0.9301935459840391,0.7985611510791367,0.7229417206290472,0.7421833598304186,0.31674100505501046
llama,gradient,scientist,0.9045508064630531,0.9230922536386793,0.8152274837511606,0.8165911272514057,0.8121768905333809,0.45402090243444526
llama,gradient,trivia,0.9434160004699423,0.9497300137218904,0.872,0.8727951425046859,0.8719876502037304,0.4266030420518938
llama,gradient,gsm8k,0.9504322510077268,0.8021441284829139,0.8701344656758669,0.8956519600609906,0.8282939158796846,0.4426854426405956
llama,gradient,scientist_to_all,0.9277163483505437,0.9696990420803335,0.8637316561844863,0.7666773279722197,0.798072226383145,0.45441570026761824
llama,gradient,scientist_to_athlete,0.9472336065573771,0.9852058856171936,0.8896103896103896,0.7574282786885246,0.8002594033722439,0.45441570026761824
llama,gradient,scientist_to_building,0.939568345323741,0.9763924437875291,0.8913043478260869,0.815347721822542,0.8402777777777778,0.45441570026761824
llama,gradient,scientist_to_musician,0.8963922294172063,0.9358555293302491,0.7985611510791367,0.7229417206290472,0.7421833598304186,0.45441570026761824
mistral,exact,scientist,0.8215508559919437,0.8437900805041192,0.735373054213634,0.7385213737542106,0.7353609104493374,0.0
mistral,exact,trivia,0.9637100578850423,0.9479726258679387,0.895,0.8963628009632464,0.8931108516358326,0.0
mistral,exact,gsm8k,0.8416931679330631,0.7200546851666457,0.7526539278131635,0.7597917121841089,0.744698522654764,0.0
mistral,exact,scientist_to_all,0.849879421221865,0.9419017428950238,0.7919621749408984,0.678557073954984,0.6967741935483871,0.0
mistral,exact,scientist_to_athlete,0.8716538320498717,0.962534045293872,0.8203125,0.764026402640264,0.7467091112449453,0.0
mistral,exact,scientist_to_building,0.8558990760483298,0.9467381805758439,0.8238636363636364,0.67181947405828,0.7003350359751743,0.0
mistral,exact,scientist_to_musician,0.859547123623011,0.9281285759312691,0.7142857142857143,0.6349449204406364,0.6366738505747127,0.0
mistral,attention,scientist,0.8174775150189255,0.8383878173110553,0.7273215244229737,0.7299718720700072,0.727290810466186,0.40604212247784477
mistral,attention,trivia,0.9636088650401969,0.9501889380853162,0.8943333333333333,0.8968673977165972,0.8926346200955647,0.39995526394273784
mistral,attention,gsm8k,0.8409389944893549,0.7132414764276231,0.7604387827317765,0.7730706673463938,0.7541614329390388,0.34473943851466504
mistral,attention,scientist_to_all,0.803025953146532,0.9196179426402779,0.7754137115839244,0.6587333486449243,0.6739103973773259,0.3003820119294953
mistral,attention,scientist_to_athlete,0.8294829482948295,0.9465703300207322,0.78125,0.712137880454712,0.6952380952380952,0.3003820119294953
mistral,attention,scientist_to_building,0.7933546552949537,0.9227597877345426,0.8068181818181818,0.6442786069651741,0.6671857619577308,0.3003820119294953
mistral,attention,scientist_to_musician,0.8320073439412484,0.9087362229362158,0.7226890756302521,0.6465728274173806,0.6507781236104936,0.3003820119294953
mistral,gradient,scientist,0.819067958467896,0.8350281346222328,0.7262479871175523,0.7290360106955586,0.7262357654143178,0.4656898494994365
mistral,gradient,trivia,0.9657585292577231,0.9511163438522464,0.8993333333333334,0.900969126610026,0.8975455203290954,0.41541902773635553
mistral,gradient,gsm8k,0.8358928296878919,0.7079952002282774,0.7423920736022646,0.752919185298473,0.7353796054672229,0.4401964301731097
mistral,gradient,scientist_to_all,0.8086816720257235,0.9187170892029245,0.7848699763593381,0.6908733348644924,0.7030892051371052,0.43837544400509354
mistral,gradient,scientist_to_athlete,0.806013934726806,0.93271601551562,0.7578125,0.7108544187752108,0.6803866290777285,0.43837544400509354
mistral,gradient,scientist_to_building,0.8418621179815209,0.9445003398830462,0.8238636363636364,0.6963397299218195,0.7205920008193782,0.43837544400509354
mistral,gradient,scientist_to_musician,0.8258873929008568,0.8897617906435178,0.7563025210084033,0.6880354957160343,0.6987867679148119,0.43837544400509354
qwen,exact,scientist,0.8606073505279928,0.868832580346402,0.7765780730897011,0.7776317401876099,0.7765647809975734,0.0
qwen,exact,trivia,0.9094811631986354,0.9038578709180735,0.8290000000000001,0.8286435786435785,0.8282117376866113,0.0
qwen,exact,gsm8k,0.8041102777232956,0.9287976866235151,0.7533616418966739,0.7173316109484165,0.6808802889653706,0.0
qwen,exact,scientist_to_all,0.8475008565228976,0.9289777596625399,0.7714285714285715,0.6707145304351136,0.68671679197995,0.0
