model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
mistral,exact,scientist,0.8090738618606105,0.836420774675584,0.726784755770263,0.7299666631940828,0.7267785171231692,0.0
mistral,exact,trivia,0.9639302206961248,0.9489580477498417,0.8996666666666666,0.901797130225619,0.8979711551392637,0.0
mistral,exact,gsm8k,0.7943129496111799,0.6293306649015183,0.7059447983014863,0.7249799723253951,0.7014435738823218,0.0
mistral,exact,scientist_to_all,0.8541858061552594,0.9443103485933566,0.789598108747045,0.74836357372531,0.739165679366465,0.0
mistral,exact,scientist_to_athlete,0.8855885588558856,0.9655141626090578,0.7890625,0.7984965163182984,0.7368861819566045,0.0
mistral,exact,scientist_to_building,0.8573205401563612,0.9504131117360868,0.8011363636363636,0.7386282871357499,0.7328128388635871,0.0
mistral,exact,scientist_to_musician,0.853733170134639,0.9237261610492793,0.773109243697479,0.7365361077111383,0.7442082636732744,0.0
mistral,attention,scientist,0.8047470222592631,0.8311928141787165,0.7181964573268921,0.7211272007500781,0.7181871200872045,0.40604212247784477
mistral,attention,trivia,0.9619774722847841,0.948302723154495,0.8953333333333333,0.8976229253757468,0.8936096426269783,0.39995526394273784
mistral,attention,gsm8k,0.7918594583222068,0.6035035031201185,0.7077140835102617,0.7288228582526157,0.7037212115998086,0.34473943851466504
mistral,attention,scientist_to_all,0.7996382636655948,0.917559852057287,0.7565011820330969,0.7087161231051906,0.699675335865392,0.3003820119294953
mistral,attention,scientist_to_athlete,0.8621195452878622,0.9582919896397123,0.7578125,0.7786945361202786,0.7076979742173113,0.3003820119294953
mistral,attention,scientist_to_building,0.7787846481876333,0.9153103684954966,0.7613636363636364,0.6961620469083156,0.6865139949109414,0.3003820119294953
mistral,attention,scientist_to_musician,0.805079559363525,0.8886298996894939,0.7478991596638656,0.6966034271725826,0.705833882663151,0.3003820119294953
