model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
qwen,exact,scientist,0.8583932916688549,0.8664329644029788,0.7749169435215947,0.7759677408952242,0.7748965102888983,0.0
qwen,exact,trivia,0.910419918784231,0.9020020435604709,0.831,0.8306042367380657,0.8302046918251897,0.0
qwen,exact,gsm8k,0.784142786611388,0.9115183496960055,0.7735314932767162,0.719693126917675,0.6943481992662487,0.0
qwen,exact,scientist_to_all,0.839925387338688,0.9264240837408764,0.7628571428571429,0.6871026685446724,0.6992099731825758,0.0
qwen,exact,scientist_to_athlete,0.8391544117647058,0.9262759173872861,0.76,0.6994485294117647,0.7085964060223409,0.0
qwen,exact,scientist_to_building,0.9042699724517906,0.9695955319163343,0.8471337579617835,0.7544765840220387,0.7697947214076246,0.0
qwen,exact,scientist_to_musician,0.7115384615384616,0.7846879569018421,0.6236559139784946,0.5963883677298312,0.586141131595677,0.0
qwen,attention,scientist,0.8335862501693022,0.8353015817741443,0.7524916943521595,0.7535613362485569,0.7524793360339356,0.4093344895826385
qwen,attention,trivia,0.9049617255936959,0.8956740218147828,0.8293333333333334,0.8290552900218328,0.828560627244049,0.40099910527885474
qwen,attention,gsm8k,0.7890303919778345,0.9140948504126648,0.7572540693559802,0.7069217780242623,0.6782565784382827,0.35644452417257155
qwen,attention,scientist_to_all,0.7478396589135483,0.8737867931963458,0.7285714285714285,0.6345692641516616,0.6434660461724874,0.3080791693705386
qwen,attention,scientist_to_athlete,0.7550551470588235,0.8702844676164219,0.71,0.6213235294117647,0.6277756385573097,0.3080791693705386
qwen,attention,scientist_to_building,0.8076216712580349,0.9343535601013976,0.8089171974522293,0.6808999081726355,0.6985407066052227,0.3080791693705386
qwen,attention,scientist_to_musician,0.623827392120075,0.6913719346952569,0.6129032258064516,0.5841932457786116,0.5712090163934427,0.3080791693705386
